gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APCDD1,4.654840512,-0.838075117,0.763749822,-1.097316285,0.272503154,NA
APEH,320.8643468,-0.271616143,0.184063387,-1.475666331,0.140033489,0.575442276
APEX1,811.9698867,0.292996997,0.196680641,1.489709386,0.136300666,0.570972163
APEX2,488.492832,0.02696657,0.236251521,0.114143475,0.909124059,0.975936577
APH1A,2141.633122,0.15276083,0.187306257,0.815567148,0.414747745,0.79549693
APH1B,355.951785,0.095116683,0.121593113,0.78225387,0.434065391,0.806545768
API5,133.9127112,0.058260092,0.222132179,0.262276687,0.793108134,0.947918711
APLF,41.82553841,0.340616883,0.270217023,1.26053081,0.207477941,NA
APLNR,0.62892659,0.404856216,2.803964551,0.144387067,0.885194829,NA
APLP1,24.63220495,-0.250875214,0.553473912,-0.453273784,0.650351608,NA
APLP2,1886.485683,-0.17800039,0.150866756,-1.17985164,0.238059227,0.677678221
APOA1,5.484217695,-0.57659455,0.597133107,-0.965604726,0.33424201,NA
APOA2,2.072642227,1.845842745,1.6583342,1.11307042,0.265678187,NA
APOA4,0.664591043,-2.966894939,3.048966214,-0.973082262,0.330512419,NA
APOBR,610.6426557,-0.475166108,0.209113744,-2.272285402,0.023069278,0.356048537
