gene,ensembl id,log2FoldChange,lfcSE,stat,pvalue,padj
POFUT1,,-0.192956163,0.086883518,-2.220860388,0.026360419,0.937677736
PRR7,,0.30386182,0.137840567,2.204444069,0.027493129,0.937677736
RAB29,,-0.224009587,0.101532419,-2.206286316,0.027363959,0.937677736
REV1,,0.315452176,0.142460117,2.214319236,0.026806826,0.937677736
RHOF,,-0.224466009,0.102589064,-2.188011083,0.028668795,0.937677736
RPL34,,0.400384177,0.182993197,2.187973012,0.028671568,0.937677736
RUFY4,,0.345005453,0.157718305,2.187478832,0.028707587,0.937677736
SERPINB9,,-0.389288199,0.175432636,-2.219018129,0.026485491,0.937677736
SNRNP40,,-0.189377817,0.085740759,-2.208725692,0.027193726,0.937677736
SNRPD2,,0.254193414,0.115975537,2.191784751,0.028395053,0.937677736
TIMM8B,,0.271454113,0.123806748,2.192563147,0.028338869,0.937677736
TNFSF18,,1.002722551,0.457343872,2.192491497,0.028344036,0.937677736
TOX2,,-0.354341108,0.160741511,-2.204415679,0.027495124,0.937677736
TRAF3IP2,,-0.209356793,0.0952866,-2.197127313,0.028011355,0.937677736
TRIB2,,-0.258004566,0.116401848,-2.216498875,0.026657355,0.937677736
UBE2H,,0.261903059,0.118388414,2.21223555,0.026950394,0.937677736
VMA21,,0.195632503,0.088210024,2.217803527,0.026568232,0.937677736
ASB2,,-0.293232301,0.134303497,-2.18335566,0.029009629,0.93811206
FAM162B,,0.672808589,0.308042303,2.184143487,0.028951706,0.93811206
LOC103672539,,0.310871806,0.142302839,2.184579092,0.028919722,0.93811206
MBD5,,0.458546604,0.210000446,2.183550622,0.028995285,0.93811206
PDGFD,,-0.204124891,0.093527213,-2.182518685,0.029071274,0.938479061
PHF20,,-0.160110171,0.073390034,-2.181633713,0.029136577,0.938962668
CHAF1B,,-0.186107365,0.085388054,-2.179548028,0.029290981,0.939208012
CUNH22orf39,,-0.166927182,0.076661394,-2.177460818,0.029446202,0.939208012
LOC103664783,,0.772678542,0.354383115,2.180348073,0.02923167,0.939208012
SFXN2,,-0.237732555,0.109150953,-2.178016293,0.029404824,0.939208012
ST3GAL5,,-0.119974855,0.055097055,-2.177518462,0.029441906,0.939208012
TRAK2,,0.429133228,0.196977476,2.178590354,0.029362113,0.939208012
NOP10,,0.360956763,0.165895264,2.175811136,0.029569386,0.941527588
LOC103669787,,-0.369125416,0.16982298,-2.173589327,0.029735991,0.945219507
LIMCH1,,-1.092807167,0.503355428,-2.171044766,0.029927789,0.949698312
HS3ST6,,0.22624149,0.104260212,2.169969602,0.030009149,0.950663342
LOC103679190,,0.66459164,0.306368069,2.169258831,0.030063039,0.950756345
CCNF,,0.694482624,0.320288478,2.168303489,0.030135603,0.951438611
CAND2,,-0.482301113,0.222839256,-2.164345377,0.030437853,0.952851298
GSTCD,,0.846029673,0.390476157,2.166661541,0.030260671,0.952851298
HIPK3,,0.214848298,0.099296335,2.163708247,0.030486748,0.952851298
LOC103663713,,1.455024566,0.672016211,2.165162898,0.030375213,0.952851298
LOC103672996,,-0.23134363,0.106881765,-2.164481754,0.030427395,0.952851298
LOC121101710,,0.80793417,0.372980698,2.166155447,0.03029931,0.952851298
TMEM170B,,0.655845392,0.303261766,2.16263791,0.03056904,0.953825616
ARHGEF17,,-1.056523256,0.490090745,-2.155770675,0.031101576,0.955443801
BCAS3,,0.168524172,0.078534122,2.145871978,0.031883194,0.955443801
BCL2,,-0.237339389,0.110849595,-2.141093877,0.032266468,0.955443801
BRWD3,,0.207398684,0.096475441,2.149756265,0.031574499,0.955443801
CA4,,0.341122226,0.158307296,2.154810511,0.031176665,0.955443801
CD34,,-0.880111385,0.411089564,-2.140923688,0.032280193,0.955443801
CEP126,,1.184552648,0.559880654,2.115723485,0.034368332,0.955443801
CUNH2orf88,,-0.256004417,0.119613339,-2.14026645,0.03233324,0.955443801
DKK3,,-0.728304603,0.343398783,-2.12087124,0.03393264,0.955443801
EFCAB12,,-0.340175508,0.15789113,-2.154494096,0.031201444,0.955443801
ELMO1,,0.157048617,0.073931351,2.124249257,0.033649306,0.955443801
ENO2,,-0.284832509,0.135112368,-2.108115738,0.035020979,0.955443801
FYN,,-0.182252879,0.084542922,-2.155743801,0.031103676,0.955443801
GLRX,,0.321011775,0.148855381,2.156534567,0.031041948,0.955443801
GPATCH4,,-0.145387862,0.068881617,-2.110691775,0.034798813,0.955443801
GPR171,,-0.30436537,0.141781303,-2.146724317,0.031815236,0.955443801
IL17RA,,0.23103431,0.109461946,2.110635876,0.034803622,0.955443801
INPP5B,,-0.219131293,0.101422287,-2.160583231,0.030727548,0.955443801
INPP5E,,-0.360016911,0.169789284,-2.120374748,0.033974455,0.955443801
JUNB,,0.237131077,0.112319784,2.111213795,0.03475394,0.955443801
KIF17,,-0.675909911,0.32027918,-2.110377297,0.03482587,0.955443801
LMBRD2,,-0.227745825,0.107828441,-2.112112757,0.034676779,0.955443801
LOC103656166,,0.323795854,0.152770179,2.119496462,0.034048532,0.955443801
LOC103657538,,0.535662493,0.253257125,2.115093475,0.034421981,0.955443801
LOC103657563,,-1.755777215,0.814181093,-2.156494704,0.031045057,0.955443801
LOC103661290,,-0.217368972,0.102385926,-2.12303566,0.033750864,0.955443801
LOC103663859,,-0.316869684,0.148132248,-2.13909995,0.032427574,0.955443801
LOC103664758,,0.316561518,0.149514295,2.117265902,0.034237287,0.955443801
LOC103666580,,-0.367487245,0.171223587,-2.146241954,0.03185368,0.955443801
LOC103668971,,-0.964179549,0.450385791,-2.140785896,0.032291308,0.955443801
LOC103672078,,-0.19682711,0.09284661,-2.119917037,0.034013042,0.955443801
LOC103672103,,-0.216450968,0.102734749,-2.106891485,0.035126987,0.955443801
LOC103672138,,-0.144097071,0.068382065,-2.107234867,0.035097226,0.955443801
LOC103672193,,-0.338832042,0.160129782,-2.115983908,0.034346176,0.955443801
LOC103673171,,-0.37640092,0.178539178,-2.108225904,0.035011454,0.955443801
