gene,ensembl id,log2FoldChange,lfcSE,stat,pvalue,padj
LDLRAP1,,-0.155420678,0.080649199,-1.927119914,0.053964688,0.96740419
LEXM,,-0.537821263,0.277153745,-1.940515954,0.052317017,0.96740419
LOC103656366,,-0.393629017,0.203872424,-1.930761448,0.05351256,0.96740419
LOC103656850,,0.18860499,0.097089561,1.942587734,0.05206599,0.96740419
LOC103657297,,0.404212424,0.208128539,1.942128769,0.052121513,0.96740419
LOC103657336,,0.383299753,0.19727969,1.942925568,0.052025152,0.96740419
LOC103658869,,-0.509850319,0.260389493,-1.958029535,0.050226547,0.96740419
LOC103659568,,-0.631964736,0.322768313,-1.957951604,0.050235692,0.96740419
LOC103659633,,0.417528061,0.212986603,1.960348937,0.04995502,0.96740419
LOC103660240,,0.229060417,0.11549076,1.983365744,0.047326591,0.96740419
LOC103661757,,0.307351391,0.155268748,1.979480068,0.047761982,0.96740419
LOC103662239,,0.2700452,0.136687382,1.975641033,0.048195448,0.96740419
LOC103663027,,1.223709442,0.629423525,1.944174936,0.051874359,0.96740419
LOC103663193,,0.779184203,0.399615022,1.949837118,0.051195536,0.96740419
LOC103664042,,-0.96092728,0.488000713,-1.9691104,0.048940415,0.96740419
LOC103665059,,0.282223887,0.145044648,1.945772495,0.051682074,0.96740419
LOC103665079,,-0.331394683,0.168396964,-1.967937397,0.049075241,0.96740419
LOC103665506,,-0.221706899,0.114240724,-1.940699349,0.052294755,0.96740419
LOC103668501,,-0.222591008,0.112514055,-1.978339576,0.047890411,0.96740419
LOC103668601,,0.412423102,0.20747405,1.987829809,0.046830516,0.96740419
LOC103669006,,-0.259822544,0.134068989,-1.937976456,0.052626095,0.96740419
LOC103670688,,0.249124404,0.127689273,1.951020625,0.051054592,0.96740419
LOC103670939,,-0.265885995,0.133287212,-1.994834998,0.046060879,0.96740419
LOC103671063,,-0.627822584,0.317247282,-1.978969152,0.04781948,0.96740419
LOC103671595,,0.605797558,0.308025829,1.966710263,0.049216623,0.96740419
LOC103671668,,-0.518323063,0.261546016,-1.98176623,0.047505411,0.96740419
LOC103671874,,-0.509605066,0.261821831,-1.94638111,0.051608977,0.96740419
LOC103672146,,0.3455162,0.177132264,1.950611327,0.051103299,0.96740419
LOC103672881,,0.228701421,0.116663787,1.960346289,0.049955329,0.96740419
LOC103677257,,-0.56093699,0.284656115,-1.970577688,0.048772201,0.96740419
LOC103677672,,-1.149343902,0.595340477,-1.930565696,0.053536784,0.96740419
LOC103678054,,0.459672963,0.233689648,1.967023217,0.049180534,0.96740419
LOC103678951,,0.309802915,0.159892654,1.937568163,0.05267593,0.96740419
LOC103679030,,-0.46467691,0.237015553,-1.960533414,0.049933476,0.96740419
LOC103680430,,-0.213008231,0.108247768,-1.967784039,0.049092891,0.96740419
LOC103680690,,-0.449888575,0.225881464,-1.991702046,0.046403759,0.96740419
LOC103680723,,-0.276102825,0.13837862,-1.995270832,0.046013349,0.96740419
LOC103682545,,0.284669456,0.144608921,1.968546987,0.049005135,0.96740419
LOC121100203,,0.453313069,0.232584059,1.949028971,0.051291965,0.96740419
LOC121100625,,-0.212826096,0.107288946,-1.983672178,0.047292397,0.96740419
LOC121100920,,-0.271085888,0.140818243,-1.925076475,0.054219792,0.96740419
LOC121100962,,0.369030703,0.191580572,1.926242823,0.054074061,0.96740419
LOC121101017,,-0.56352798,0.289266492,-1.948127403,0.051399721,0.96740419
LOC121101637,,1.306003583,0.675029556,1.934735406,0.053022773,0.96740419
LOC121102017,,0.345980194,0.177214387,1.952325658,0.050899553,0.96740419
LOC121102076,,0.314997624,0.163290111,1.929067366,0.0537225,0.96740419
LOC121102296,,0.458912674,0.237427299,1.932855555,0.053253994,0.96740419
LOC121103067,,-0.327410002,0.169261948,-1.934339081,0.053071451,0.96740419
LOC121103356,,0.975248165,0.498135244,1.957797963,0.050253725,0.96740419
LOC121103697,,0.422921265,0.215125135,1.965931431,0.049306532,0.96740419
LOC121103863,,0.506502875,0.258338028,1.960620663,0.04992329,0.96740419
LOC121103979,,0.69303471,0.35204207,1.968613325,0.048997511,0.96740419
LOC121104062,,-0.467503764,0.235648841,-1.983900116,0.047266976,0.96740419
LOC121104251,,0.351660597,0.179651201,1.957463104,0.050293046,0.96740419
LOC121104437,,0.889578701,0.454101526,1.958986369,0.050114383,0.96740419
LOC121105038,,0.755751952,0.383029291,1.973091799,0.048485104,0.96740419
LOC121105219,,0.715669343,0.371041548,1.928811871,0.053754222,0.96740419
LOC121105711,,-0.588047677,0.295284339,-1.991462461,0.046430068,0.96740419
LOC121105906,,1.225154839,0.622016255,1.969650839,0.048878401,0.96740419
LOC121106106,,0.330557535,0.167210087,1.976899489,0.048052993,0.96740419
MAP2K6,,-0.265503456,0.137712492,-1.927954772,0.053860752,0.96740419
MAP3K2,,0.243860077,0.125749265,1.93925648,0.052470115,0.96740419
MMD,,-0.209552303,0.107932651,-1.941509838,0.052196467,0.96740419
MRPL16,,0.150727185,0.076943423,1.958935284,0.050120366,0.96740419
MRPS36,,0.230562967,0.115931859,1.988780029,0.046725488,0.96740419
MUC5B,,0.491240039,0.253762466,1.935826235,0.052888987,0.96740419
MYO5A,,0.177447188,0.090675938,1.956937981,0.05035476,0.96740419
MYOZ2,,-1.08458973,0.560587381,-1.934738038,0.05302245,0.96740419
NAPEPLD,,-0.173420237,0.090100019,-1.924752503,0.054260329,0.96740419
NCOA1,,0.142797352,0.074233669,1.92361976,0.054402262,0.96740419
NUDT2,,0.142392916,0.073790974,1.92967931,0.053646585,0.96740419
OSBPL3,,-0.292708529,0.150643246,-1.943057765,0.052009179,0.96740419
OXCT1,,-0.202136603,0.105062521,-1.923964905,0.054358983,0.96740419
PCYOX1L,,-0.139711793,0.071990622,-1.940694348,0.052295362,0.96740419
PFDN2,,0.177984619,0.092085239,1.932824648,0.053257803,0.96740419
PHKA2,,0.16648317,0.083624384,1.990844802,0.046497952,0.96740419
PIM2,,-0.157446741,0.079199205,-1.987983858,0.046813475,0.96740419
PKMYT1,,0.265388901,0.136215686,1.948299121,0.051379182,0.96740419
PMEPA1,,-0.255291417,0.132565109,-1.925781369,0.054131679,0.96740419
POLR2J,,0.191050347,0.09625623,1.98481019,0.047165593,0.96740419
PPP2R2D,,0.131284658,0.06675086,1.966786003,0.049207887,0.96740419
PRIMPOL,,-0.186284754,0.09557447,-1.949105789,0.051282792,0.96740419
PRSS57,,0.22223472,0.111627681,1.990856736,0.04649664,0.96740419
RAB33B,,0.191545946,0.096112732,1.992930003,0.046269112,0.96740419
RBM15B,,-0.109691397,0.05694578,-1.926242765,0.054074068,0.96740419
RETSAT,,0.230821765,0.116340937,1.984011574,0.04725455,0.96740419
RFTN1,,-0.242827267,0.121838698,-1.993022512,0.046258982,0.96740419
RIOX2,,-0.292649101,0.147802735,-1.979997876,0.047703767,0.96740419
RNF141,,0.176132716,0.089165049,1.975356019,0.04822776,0.96740419
SEMA4B,,0.251109441,0.127894937,1.963404075,0.049599241,0.96740419
SF3B6,,0.284876089,0.146954832,1.938528225,0.052558811,0.96740419
SLC46A3,,0.151362752,0.076548705,1.97733917,0.048003305,0.96740419
SNX13,,0.17139777,0.087340506,1.96240871,0.04971492,0.96740419
SOS2,,0.151628894,0.077848237,1.947749888,0.051444898,0.96740419
SPIDR,,0.265163664,0.135047194,1.963488876,0.049589396,0.96740419
STPG4,,0.865696233,0.440441433,1.965519518,0.049354139,0.96740419
STS,,-0.36218514,0.187808403,-1.928482079,0.053795191,0.96740419
TADA2A,,-0.152528099,0.076637131,-1.990263698,0.046561895,0.96740419
TBC1D4,,-0.254047541,0.13058681,-1.94543033,0.051723207,0.96740419
TCEANC2,,0.195268204,0.099251525,1.967407592,0.04913624,0.96740419
TCP11L2,,0.151833189,0.07792886,1.948356344,0.05137234,0.96740419
TMEM176B,,0.350521777,0.179858412,1.948876188,0.051310212,0.96740419
TMEM41A,,-0.215713756,0.108568591,-1.98688915,0.046934682,0.96740419
TOP3B,,-0.174353774,0.090518365,-1.926170155,0.054083131,0.96740419
TTBK2,,-0.41227287,0.210793784,-1.955811322,0.050487385,0.96740419
TTLL7,,0.18329707,0.095243734,1.924505302,0.054291277,0.96740419
TUT7,,0.215431647,0.10912251,1.974218216,0.048356936,0.96740419
UMAD1,,0.194775862,0.099700611,1.9536075,0.050747653,0.96740419
VPS13D,,0.189270353,0.096494761,1.961457291,0.049825702,0.96740419
VPS29,,0.208975207,0.105248421,1.985542445,0.047084153,0.96740419
WWOX,,-0.278196215,0.140854449,-1.975061614,0.048261156,0.96740419
ZC3H7B,,-0.204967953,0.103485527,-1.980643666,0.047631248,0.96740419
ZNF277,,0.295357043,0.152444317,1.937474939,0.052687314,0.96740419
EZH2,,-0.199603063,0.10384282,-1.922165271,0.054584965,0.968890774
LOC103657239,,-0.249126523,0.12967539,-1.921154993,0.05471217,0.968890774
PLBD1,,0.286052905,0.148846766,1.921794561,0.054631613,0.968890774
USP22,,0.127657429,0.06645322,1.921011926,0.054730204,0.968890774
BEND3,,-1.572442277,0.819855162,-1.917951305,0.055117186,0.969564774
FAAP24,,-0.781532565,0.407286032,-1.918878883,0.054999664,0.969564774
IQSEC2,,0.343971634,0.179333808,1.918052357,0.055104373,0.969564774
JOSD2,,0.153178764,0.079792877,1.919704738,0.054895205,0.969564774
LOC103661331,,0.491595123,0.256184854,1.91890783,0.054995999,0.969564774
RAB11A,,0.124961394,0.065157552,1.917834397,0.055132013,0.969564774
WWTR1,,0.770612966,0.40164561,1.918639088,0.055030025,0.969564774
AFDN,,0.334811871,0.175590072,1.906781335,0.056548909,0.970142063
ANKLE1,,-0.329388164,0.173022731,-1.903727684,0.056945659,0.970142063
ASPM,,-0.408793528,0.215264385,-1.899030014,0.05756053,0.970142063
BCL11B,,-0.260291613,0.13678928,-1.902865582,0.057058087,0.970142063
CCDC181,,1.083149313,0.566508914,1.911972232,0.055879756,0.970142063
CCR7,,-0.271890971,0.143065284,-1.90046783,0.057371753,0.970142063
CD33,,0.254703516,0.134450236,1.894407361,0.05817096,0.970142063
CLDN11,,-0.334845008,0.175262943,-1.910529418,0.056065082,0.970142063
CLDN20,,0.72337152,0.378819968,1.909539044,0.05619259,0.970142063
CRNKL1,,0.148381181,0.077821872,1.906677102,0.056562414,0.970142063
CTRL,,0.227082954,0.119553625,1.89942342,0.057508827,0.970142063
CUNH6orf163,,0.980928183,0.517632915,1.895026679,0.058088867,0.970142063
DOK3,,0.144680664,0.076161376,1.89965926,0.05747785,0.970142063
EML6,,0.447316434,0.235312865,1.90094338,0.057309429,0.970142063
ERGIC1,,0.180406996,0.095199836,1.895034746,0.058087799,0.970142063
EXOSC1,,0.147301698,0.077403362,1.903040052,0.057035319,0.970142063
FCER2,,0.26769857,0.140066558,1.911224023,0.055975798,0.970142063
GALNT15,,0.95343424,0.500717055,1.904137737,0.056892248,0.970142063
GBX1,,0.624129649,0.325688067,1.91634178,0.055321606,0.970142063
GCC2,,0.187842289,0.098334061,1.910246424,0.056101492,0.970142063
GPRC5B,,-0.38538107,0.203169309,-1.896846885,0.057848149,0.970142063
GRAMD2B,,-0.170906008,0.089826346,-1.902626736,0.057089268,0.970142063
GTPBP3,,-0.208714195,0.10949484,-1.906155533,0.056630029,0.970142063
HEATR3,,-0.275393989,0.145426376,-1.893700418,0.058264786,0.970142063
IL10RA,,-0.173595715,0.090865923,-1.910460032,0.056074008,0.970142063
IQCC,,-0.200625517,0.104943951,-1.9117397,0.055909589,0.970142063
LOC103656485,,-0.469577106,0.246119783,-1.907921012,0.056401426,0.970142063
LOC103661940,,0.434000933,0.228900893,1.896021149,0.057957248,0.970142063
LOC103665152,,-0.198334723,0.103710842,-1.912381755,0.055827246,0.970142063
LOC103669075,,1.340871561,0.701352423,1.911837069,0.055897096,0.970142063
LOC103671445,,0.477676947,0.251996964,1.895566274,0.05801742,0.970142063
LOC103676428,,-0.263401648,0.137860298,-1.910641795,0.056050629,0.970142063
LOC103680548,,-0.199258356,0.104346324,-1.909586738,0.056186444,0.970142063
LOC121099813,,-1.41064798,0.741163602,-1.903288257,0.057002942,0.970142063
LOC121101191,,1.054672532,0.556596461,1.894860291,0.058110913,0.970142063
LOC121102250,,-0.299112843,0.157758536,-1.896016856,0.057957816,0.970142063
LOC121102595,,0.333335934,0.174136223,1.914225127,0.055591397,0.970142063
LPAR2,,-0.226451394,0.119153054,-1.900508518,0.057366418,0.970142063
MAGED1,,-0.214330312,0.112941309,-1.897714086,0.057733756,0.970142063
MAPK9,,0.292219156,0.153286438,1.906360145,0.056603496,0.970142063
NEB,,0.143329594,0.074999408,1.911076342,0.055994771,0.970142063
PDE8B,,0.214871292,0.112677482,1.906958591,0.05652595,0.970142063
PHLPP2,,-0.368464477,0.193304187,-1.90613811,0.056632289,0.970142063
PIN4,,0.287409189,0.151165199,1.901292035,0.057263772,0.970142063
PINK1,,0.130262495,0.068176712,1.910659693,0.056048328,0.970142063
PJA1,,-0.267720848,0.140683849,-1.902996328,0.057041024,0.970142063
PKN2,,0.261701005,0.136607189,1.915719134,0.055400856,0.970142063
PLEKHA3,,0.262772807,0.137186079,1.915448049,0.055435388,0.970142063
POLB,,0.221679955,0.117057748,1.893765756,0.058256109,0.970142063
PRR3,,-0.104710356,0.055127313,-1.899427892,0.057508239,0.970142063
SCN1B,,0.671813296,0.353038521,1.902946155,0.057047572,0.970142063
TAF9B,,-0.289753843,0.153021288,-1.893552496,0.058284434,0.970142063
TGIF2,,-0.163795435,0.086097897,-1.902432482,0.057114638,0.970142063
TKTL1,,-0.428125919,0.225472498,-1.898794408,0.057591513,0.970142063
UBQLN2,,-0.2759664,0.144588889,-1.908627987,0.056310099,0.970142063
ZC3H10,,-0.193916121,0.101372509,-1.912906403,0.055760036,0.970142063
ZDHHC1,,-0.196049768,0.103407811,-1.89588936,0.057974676,0.970142063
ZFAND5,,0.306083277,0.160395834,1.90829942,0.056352528,0.970142063
ZNF133,,-0.204743319,0.107467159,-1.905171041,0.056757841,0.970142063
ZNF335,,0.164276165,0.086657607,1.895692374,0.058000734,0.970142063
LOC103665188,,0.59375116,0.313664108,1.892952191,0.058364228,0.970604389
PDZD9,,-0.439575493,0.232283454,-1.892409831,0.058436397,0.970939211
CDKN2D,,0.13888131,0.073522058,1.888974733,0.058895214,0.971545802
DROSHA,,-0.257461538,0.136103028,-1.891666491,0.058535431,0.971545802
FOXB1,,0.803159036,0.424937401,1.890064357,0.058749353,0.971545802
LOC103656868,,0.592403196,0.313323279,1.89070917,0.058663178,0.971545802
LOC103661309,,0.503926794,0.266742038,1.889191512,0.058866172,0.971545802
LOC103665342,,0.566055956,0.299511028,1.8899336,0.058766841,0.971545802
LOC121104262,,1.103338924,0.584200901,1.888629275,0.058941521,0.971545802
NCKIPSD,,-0.198888292,0.105236888,-1.889910428,0.058769941,0.971545802
TCF19,,-0.313392665,0.16583981,-1.889731215,0.058793917,0.971545802
AQP11,,-0.26081832,0.138364243,-1.885012436,0.059428159,0.971840504
CD5,,-0.259987238,0.137749886,-1.887386229,0.059108396,0.971840504
GGACT,,-0.208067134,0.110321355,-1.886009588,0.059293663,0.971840504
LOC103656266,,1.105677613,0.586181118,1.886238876,0.059262772,0.971840504
LOC103657157,,0.177324189,0.093959849,1.887233659,0.059128905,0.971840504
METTL5,,0.228016642,0.120956432,1.885113818,0.059414473,0.971840504
MSL1,,0.155850229,0.08267273,1.885146757,0.059410027,0.971840504
TBCB,,0.117055969,0.062077105,1.885654433,0.059341537,0.971840504
UPP1,,0.569775731,0.302152752,1.885720805,0.059332588,0.971840504
IGFBP4,,-0.263076854,0.139635783,-1.884021765,0.059562032,0.973176836
ADRA1A,,0.474179612,0.25192652,1.882213955,0.059806972,0.973214921
AFAP1L2,,-1.052049632,0.560522785,-1.876907882,0.06053072,0.973214921
ANXA1,,0.319707665,0.170047989,1.880102596,0.060094097,0.973214921
ARMCX2,,-0.290570339,0.154501308,-1.880698249,0.060012978,0.973214921
ARMH2,,0.221448443,0.117859695,1.878915793,0.060255992,0.973214921
BRCA2,,0.318273582,0.169334929,1.879550691,0.060169339,0.973214921
ERCC6,,-0.162529615,0.086298566,-1.883340855,0.05965419,0.973214921
FCHO2,,0.229410844,0.122158541,1.877976297,0.060384408,0.973214921
HELB,,-0.208135701,0.110946081,-1.876007688,0.060654224,0.973214921
HOPX,,-0.206352717,0.109967173,-1.876493792,0.060587506,0.973214921
LOC103667320,,0.464864279,0.247436121,1.8787244,0.060282134,0.973214921
LOC103671435,,-0.43501484,0.231655115,-1.877855535,0.060400931,0.973214921
LOC103682302,,-0.216866961,0.115299663,-1.880898476,0.059985731,0.973214921
LOC121102366,,1.515263334,0.807107811,1.877398922,0.060463439,0.973214921
LOC121103727,,-1.475803094,0.786586608,-1.876211824,0.060626199,0.973214921
LOC121105003,,0.288022524,0.153532752,1.875967963,0.060659679,0.973214921
NADK2,,-0.265692637,0.14126093,-1.880864273,0.059990384,0.973214921
NIBAN2,,0.469010384,0.249107269,1.882764745,0.059732257,0.973214921
OPN1SW,,-1.158366246,0.616066321,-1.88026225,0.060072345,0.973214921
SDS,,0.403666079,0.215174405,1.875994862,0.060655985,0.973214921
XKR6,,1.340235102,0.712764223,1.88033442,0.060062515,0.973214921
IL12RB2,,-0.318390466,0.169780452,-1.875306972,0.060750505,0.973834767
LOC103672070,,-0.287559951,0.153490511,-1.873470545,0.061003437,0.975375426
MAPK14,,0.253615148,0.135359612,1.873639742,0.060980097,0.975375426
RNF113A,,-0.092593773,0.049420075,-1.873606463,0.060984687,0.975375426
OGDHL,,1.514733969,0.808868558,1.872657746,0.061115662,0.976333162
ACVR1C,,0.466435139,0.250000551,1.865736447,0.062078248,0.976598792
APOBR,,0.174846188,0.093987118,1.860320774,0.062840156,0.976598792
BIRC2,,0.199750141,0.107177016,1.863740459,0.062358161,0.976598792
CDKN2C,,-0.178945629,0.09616999,-1.860722128,0.062783427,0.976598792
CEP83,,0.222113187,0.118943251,1.867387904,0.061847438,0.976598792
CHAMP1,,-0.244490551,0.131268882,-1.862517203,0.062530223,0.976598792
DMKN,,0.739623399,0.397258181,1.861820433,0.062628405,0.976598792
DUSP5,,-0.216026981,0.116054488,-1.861427204,0.062683872,0.976598792
FAAP100,,0.595455906,0.318151225,1.871612799,0.061260191,0.976598792
FAM126B,,0.187370106,0.100937502,1.856298237,0.06341106,0.976598792
FCMR,,-0.25812842,0.138835367,-1.859241097,0.062992972,0.976598792
GIGYF2,,0.16009674,0.085783501,1.866288263,0.062001046,0.976598792
ITM2C,,-0.199850816,0.107217458,-1.863976444,0.062325012,0.976598792
KCNA3,,-0.150846912,0.080710349,-1.868990963,0.061624072,0.976598792
KLC1,,0.090695688,0.048587966,1.86662863,0.061953467,0.976598792
LAMTOR5,,0.187582719,0.100675856,1.863234415,0.062429293,0.976598792
LCT,,-0.306169338,0.164883106,-1.85688725,0.063327197,0.976598792
LOC103656661,,0.20408461,0.109817201,1.858402949,0.063111814,0.976598792
LOC103656758,,-0.183525536,0.098477266,-1.863633531,0.062373185,0.976598792
LOC103657295,,0.405449203,0.218383578,1.856591993,0.063369224,0.976598792
LOC103658503,,-0.221751535,0.119469915,-1.856128683,0.063435218,0.976598792
LOC103660614,,-0.221523403,0.119081803,-1.860262414,0.062848409,0.976598792
LOC103660967,,0.261822138,0.141046836,1.856277999,0.063413943,0.976598792
LOC103661090,,-0.315497521,0.169698716,-1.859162687,0.063004082,0.976598792
LOC103662426,,0.52842869,0.284469753,1.857591829,0.063227,0.976598792
LOC103666321,,1.103323913,0.592703323,1.861511266,0.062672011,0.976598792
LOC103668419,,0.723392338,0.386861506,1.869900021,0.061497703,0.976598792
LOC103669279,,0.166632703,0.089633927,1.85903608,0.063022024,0.976598792
LOC103674059,,-0.291288666,0.15672515,-1.858595553,0.063084488,0.976598792
LOC103676880,,-0.211106,0.11345561,-1.860692479,0.062787616,0.976598792
LOC103682512,,0.262321301,0.141033113,1.859997947,0.062885816,0.976598792
LOC121099785,,-0.208035457,0.111776548,-1.861172679,0.062719795,0.976598792
LOC121102578,,1.107980322,0.592436052,1.870210833,0.061454546,0.976598792
LOC121103249,,0.567188831,0.303596738,1.868230976,0.061729883,0.976598792
LOC121103932,,-0.309804931,0.165729664,-1.869339044,0.061575659,0.976598792
LOC121104752,,-0.375309753,0.20092041,-1.867952356,0.061768712,0.976598792
MTHFSD,,-0.145159595,0.078169644,-1.856981661,0.063313763,0.976598792
NFATC1,,-0.188357301,0.101420464,-1.85719227,0.063283804,0.976598792
PLA2G3,,-0.461362427,0.247173447,-1.866553355,0.061963987,0.976598792
POLR2D,,0.177292076,0.094931163,1.867585628,0.061819851,0.976598792
PRR5,,-0.235082799,0.126051851,-1.864969035,0.062185745,0.976598792
RAB3D,,0.201233472,0.10835439,1.85717876,0.063285726,0.976598792
SBNO2,,0.354871172,0.190253592,1.865253461,0.062145885,0.976598792
SELENOW,,0.171748584,0.09243708,1.858005303,0.063168261,0.976598792
LOC121101393,,-0.650544536,0.350569728,-1.855678009,0.063499467,0.976781993
LOC103665885,,0.650361202,0.350637449,1.854796754,0.063625256,0.977105882
PPP4R1,,0.207895277,0.112082108,1.854848031,0.063617931,0.977105882
CUL1,,-0.124493317,0.067139169,-1.854257637,0.06370231,0.9774847
ATP5MG,,0.243308399,0.131380251,1.851940435,0.064034377,0.978556458
FDXACB1,,-0.265134591,0.143085248,-1.852983406,0.063884737,0.978556458
LOC103679268,,-0.307493452,0.166032957,-1.852002498,0.064025464,0.978556458
LOC121104755,,-0.271996301,0.146761419,-1.853322911,0.063836089,0.978556458
ND3,,0.372724144,0.201184745,1.852646151,0.063933093,0.978556458
ANK3,,-0.466067398,0.251750295,-1.851308249,0.06412522,0.978630165
CDADC1,,0.377094785,0.20370542,1.851176981,0.064144096,0.978630165
CALHM5,,-0.760266001,0.4131495,-1.840171659,0.065743039,0.980779759
DTX3L,,-0.219392827,0.119193686,-1.840641347,0.065674134,0.980779759
FAM214A,,0.172667507,0.093575238,1.845226485,0.065004599,0.980779759
FBN3,,-1.239798818,0.67114194,-1.847297483,0.064704037,0.980779759
GAPDH,,0.148784533,0.080575767,1.846517121,0.064817156,0.980779759
GPR33,,-0.536308653,0.290252431,-1.847731818,0.064641149,0.980779759
KDF1,,-0.360992902,0.195488896,-1.846615893,0.064802829,0.980779759
LOC103657352,,0.484008893,0.262603906,1.843113841,0.065312391,0.980779759
LOC103660630,,-0.422439064,0.229236883,-1.842805823,0.065357366,0.980779759
LOC103660655,,-0.143894174,0.078127305,-1.841791091,0.065505714,0.980779759
LOC103662966,,-0.243655997,0.132097281,-1.844519398,0.065107481,0.980779759
LOC103676095,,0.289465026,0.157232936,1.840994855,0.065622313,0.980779759
LOC103679015,,-0.159789635,0.086466082,-1.848003645,0.064601816,0.980779759
LOC121103018,,-0.763614282,0.414282054,-1.84322317,0.065296433,0.980779759
LOC121104218,,1.304178979,0.705665247,1.848155319,0.064579877,0.980779759
LOC121105197,,-0.401787037,0.218091476,-1.842286751,0.065433217,0.980779759
LOC121105412,,0.373820964,0.20251828,1.845862827,0.064912125,0.980779759
MEGF9,,0.236975315,0.12815472,1.849134508,0.064438393,0.980779759
NBAS,,-0.116184341,0.062843115,-1.84879985,0.064486719,0.980779759
NRDC,,0.162944289,0.088443398,1.84235671,0.06542299,0.980779759
PLIN5,,0.319398318,0.173400178,1.841972258,0.065479208,0.980779759
RASGRP4,,0.201018754,0.109244683,1.840078147,0.065756765,0.980779759
ROBO1,,-1.108082494,0.601311415,-1.842776415,0.065361662,0.980779759
SIT1,,-0.182757385,0.099313971,-1.840198147,0.065739152,0.980779759
SLC25A22,,-0.221324832,0.120234068,-1.840783038,0.06565336,0.980779759
TRAF4,,-0.261530886,0.142023279,-1.84146492,0.065553457,0.980779759
TRIM23,,0.478612206,0.259713406,1.842847523,0.065351276,0.980779759
VIRMA,,0.142628355,0.077433742,1.841940613,0.065483837,0.980779759
LOC103668630,,0.283203792,0.154021174,1.838732848,0.065954489,0.982943146
DNAJC6,,0.823187337,0.447840471,1.838126277,0.0660438,0.983330102
PSENEN,,0.178467267,0.097107028,1.837840893,0.066085854,0.983330102
GRHL2,,-1.193098079,0.649579549,-1.836723586,0.066250712,0.984213398
LOC103682251,,-0.238451395,0.129808899,-1.836941813,0.066218486,0.984213398
C4BPB,,0.245203951,0.134165858,1.827618094,0.067606888,0.984425236
CKAP4,,0.247524617,0.135700595,1.824049606,0.068144573,0.984425236
CNIH4,,0.148148648,0.080980985,1.829425118,0.067335948,0.984425236
ECHDC1,,0.182067707,0.099702255,1.826114245,0.067833055,0.984425236
EOMES,,-0.251326348,0.137806052,-1.823768587,0.068187065,0.984425236
EPS15L1,,0.142210518,0.077707251,1.830080407,0.067237916,0.984425236
GPRASP1,,-0.598765833,0.327506977,-1.828253669,0.06751149,0.984425236
LMAN1L,,0.672662778,0.366726093,1.83423757,0.066618737,0.984425236
LMAN2L,,-0.205941403,0.112497729,-1.830627206,0.067156205,0.984425236
LOC103657278,,-0.257411445,0.14019879,-1.836046128,0.066350835,0.984425236
LOC103657848,,0.348412758,0.190171666,1.832096048,0.066937112,0.984425236
LOC103659334,,0.291507372,0.159381393,1.828992494,0.067400733,0.984425236
LOC103661310,,-0.766741943,0.4183948,-1.832580002,0.066865054,0.984425236
LOC103662333,,0.671629624,0.3680832,1.824667968,0.06805115,0.984425236
LOC103665522,,-0.163750839,0.089813997,-1.82322181,0.068269803,0.984425236
LOC103678233,,0.13104176,0.071453033,1.833956568,0.066660441,0.984425236
LOC103678541,,-1.180645405,0.644600673,-1.831591953,0.067012237,0.984425236
LOC103679084,,0.465975023,0.255101142,1.826628522,0.067755642,0.984425236
LOC121100219,,-0.385035083,0.210980943,-1.824975646,0.068004705,0.984425236
LOC121100633,,0.632866286,0.345787601,1.83021683,0.067217522,0.984425236
LOC121100958,,-0.499374251,0.273840299,-1.823596647,0.068213074,0.984425236
LOC121102023,,0.292643688,0.15972532,1.832168431,0.066926331,0.984425236
LOC121103271,,0.565780288,0.310301214,1.82332605,0.068254023,0.984425236
LOC121103889,,0.347899067,0.190294448,1.828214495,0.067517366,0.984425236
LOC121105007,,1.084242316,0.594262241,1.824518271,0.068073757,0.984425236
MEAK7,,0.316969943,0.172725595,1.835106965,0.066489842,0.984425236
MYPN,,-1.062078978,0.579212843,-1.833659232,0.066704594,0.984425236
MYRFL,,-0.313990153,0.171878271,-1.826817035,0.067727284,0.984425236
NFE2L3,,-0.455313951,0.248569333,-1.831738233,0.06699043,0.984425236
PGS1,,0.218320111,0.119148672,1.832333572,0.066901738,0.984425236
PWP2,,-0.151178418,0.08250734,-1.832302662,0.066906341,0.984425236
PYY,,0.467857703,0.256325178,1.825250668,0.067963211,0.984425236
SMOC1,,0.782075079,0.42878837,1.82391859,0.068164381,0.984425236
TET2,,0.139107227,0.075861214,1.833706833,0.066697524,0.984425236
VTI1B,,0.139924095,0.07623335,1.835470879,0.06643595,0.984425236
WDR46,,-0.140477856,0.076861289,-1.827680194,0.067597562,0.984425236
WDR76,,-0.180448745,0.09890573,-1.824451882,0.068083785,0.984425236
WRN,,0.650319253,0.356244347,1.825486518,0.067927644,0.984425236
DNA2,,0.615336557,0.337863803,1.821256234,0.068567916,0.984650505
IFIT5,,-0.203834557,0.1119549,-1.820684556,0.068654821,0.984650505
LOC121103682,,1.119172135,0.614382032,1.821622502,0.068512284,0.984650505
RSKR,,0.219161304,0.120327344,1.821375727,0.068549762,0.984650505
UBR1,,0.205347192,0.112660427,1.822709167,0.068347451,0.984650505
WBP1L,,0.133493169,0.073306922,1.821017241,0.068604236,0.984650505
WDR55,,-0.100795401,0.055309009,-1.822404765,0.068393592,0.984650505
ACAA1,,-0.094629052,0.052525401,-1.801586481,0.07161049,0.985564621
