Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 79 53
7 44 0
8 182 0
9 145 65
10 65 84
11 40 373
12 444 45
13 821 2012
14 847 2005
15 2457 3528
16 4006 2752
17 5316 4013
18 5033 2027
19 4740 2674
20 5776 2959
21 8911 3735
22 6315 4932
23 4603 4131
24 6518 5589
25 5608 5018
26 8861 9518
27 4000 5225
28 4990 3767
29 2948 10851
30 2838 7605
31 2635 5905
32 924 7224
33 593 4611
34 892 4899
35 374 3559
36 553 5764
37 512 3879
38 456 2207
39 201 3033
40 675 1568
41 258 2057
42 2137 2856
43 728 1233
44 562 1046
45 335 619
46 0 1352
47 179 1726
48 0 337
49 0 686
50 0 471
51 0 0
52 0 0
53 0 245
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
