Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 85 0
6 0 0
7 44 0
8 280 0
9 45 307
10 73 326
11 119 205
12 135 630
13 658 1725
14 2854 1585
15 5285 6489
16 6579 3751
17 6568 4329
18 8091 5615
19 6407 3556
20 5368 6416
21 8628 5107
22 8497 5592
23 5725 5472
24 5617 7950
25 5139 9131
26 7227 10645
27 6630 10782
28 4345 6889
29 4681 20183
30 4399 9251
31 2361 9237
32 1905 5836
33 1192 7852
34 1568 7858
35 272 6525
36 706 3350
37 1474 6225
38 732 4956
39 586 6808
40 914 3411
41 343 3308
42 870 3939
43 471 2984
44 359 2626
45 0 2485
46 282 1809
47 0 1029
48 0 337
49 0 1715
50 0 0
51 0 212
52 0 198
53 119 21
54 0 0
55 0 296
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
