Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 85 0
6 0 0
7 97 44
8 182 0
9 116 130
10 247 185
11 291 418
12 163 368
13 661 1791
14 2370 2048
15 2226 2925
16 4304 2200
17 3257 3794
18 5721 2452
19 6668 4352
20 7244 3052
21 9916 4259
22 6379 4494
23 3811 7307
24 5201 5078
25 5860 8011
26 7008 10752
27 5115 8045
28 4660 7462
29 2842 8535
30 3542 6847
31 1565 6938
32 2072 8093
33 448 6681
34 719 6141
35 0 3584
36 1409 3721
37 1204 5456
38 346 4746
39 318 4321
40 497 3966
41 945 3440
42 743 2502
43 278 965
44 255 1786
45 0 1185
46 0 895
47 0 1029
48 147 616
49 0 1275
50 0 208
51 0 195
52 0 0
53 119 0
54 0 0
55 0 0
56 0 381
57 0 5
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
