Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 170 0
6 0 97
7 97 0
8 455 38
9 92 130
10 202 261
11 491 505
12 834 406
13 1090 1105
14 1396 281
15 4328 4910
16 3915 3431
17 5602 2880
18 7549 3845
19 12557 2138
20 9217 4674
21 8324 4462
22 7109 3189
23 9011 5871
24 7325 3441
25 8373 10200
26 6744 7943
27 6839 10993
28 7105 7451
29 6340 9814
30 2734 10086
31 1474 6010
32 1797 12797
33 777 6137
34 566 5844
35 1006 5857
36 1248 3734
37 901 4081
38 1358 4401
39 586 5300
40 1038 3120
41 477 4844
42 753 1247
43 935 2252
44 173 4857
45 655 420
46 0 326
47 0 1715
48 473 1063
49 135 1150
50 0 289
51 0 0
52 0 0
53 0 0
54 0 0
55 154 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
