Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 144 0
8 440 0
9 48 147
10 0 208
11 165 398
12 526 0
13 756 2256
14 1365 1428
15 3442 3557
16 5186 1842
17 3722 4294
18 1809 3199
19 6532 1634
20 9876 3627
21 7308 3651
22 3708 4818
23 4551 4513
24 4563 6283
25 3894 5080
26 9343 6441
27 5897 7385
28 2904 6928
29 2112 7412
30 3266 8279
31 1328 6368
32 823 8541
33 1289 5867
34 1716 3937
35 141 4829
36 749 2674
37 430 3973
38 1074 4205
39 354 3924
40 484 1280
41 193 2273
42 625 2810
43 438 1806
44 123 3142
45 358 977
46 0 1273
47 0 653
48 0 1226
49 0 731
50 0 35
51 0 164
52 0 0
53 119 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
