Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 170 0
6 0 0
7 98 0
8 364 0
9 45 378
10 481 216
11 646 848
12 673 0
13 1171 1652
14 2090 1552
15 5234 5718
16 3986 2540
17 5853 5162
18 6710 4369
19 12794 3379
20 7385 2683
21 11584 4732
22 7251 3828
23 7262 7318
24 6431 7255
25 7261 9353
26 9886 11523
27 6732 11859
28 6718 7673
29 6006 11205
30 3052 10350
31 2056 7849
32 2197 7886
33 677 8129
34 2294 8547
35 223 7540
36 661 4501
37 1120 5907
38 1302 5046
39 509 5778
40 1009 4886
41 674 2162
42 1392 241
43 914 1721
44 540 4209
45 667 512
46 0 2165
47 210 1896
48 0 579
49 0 882
50 0 0
51 0 0
52 0 0
53 0 202
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
