Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 97 0
8 595 55
9 368 338
10 40 33
11 288 980
12 1112 359
13 649 2554
14 1773 812
15 7239 5076
16 4749 4169
17 6884 5527
18 6428 4126
19 7499 3223
20 11458 3725
21 11415 4547
22 6553 4255
23 6564 7820
24 5278 10893
25 9513 7562
26 7688 9218
27 5417 10495
28 5909 10496
29 4498 10580
30 3162 11589
31 3163 6567
32 2434 8063
33 1214 7086
34 907 3198
35 141 5926
36 2185 2824
37 922 5918
38 669 5904
39 308 5324
40 1281 1933
41 258 2852
42 1733 2466
43 278 1728
44 569 3335
45 245 1938
46 916 317
47 255 1680
48 171 1627
49 0 0
50 0 259
51 0 0
52 0 311
53 119 0
54 0 0
55 0 561
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
