Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 85 0
6 0 0
7 121 0
8 182 0
9 0 166
10 43 124
11 208 357
12 277 625
13 670 480
14 1340 1370
15 2530 2326
16 4927 2408
17 4413 3806
18 5054 3584
19 7690 2678
20 3738 2138
21 6275 3207
22 3404 2898
23 3051 3472
24 2903 3983
25 3029 6609
26 5076 5124
27 3644 5450
28 6061 8206
29 2805 6804
30 1810 4860
31 2975 5496
32 682 7275
33 538 4076
34 1060 6891
35 1071 1941
36 452 3891
37 875 5481
38 159 3774
39 396 2058
40 1227 1891
41 343 1968
42 776 763
43 278 862
44 255 1385
45 0 1440
46 0 721
47 0 1029
48 0 838
49 0 686
50 0 0
51 0 0
52 0 0
53 119 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
