Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 44 0
8 232 52
9 204 130
10 130 608
11 138 382
12 582 378
13 1122 2213
14 2056 1887
15 5021 4317
16 1782 3042
17 6705 4432
18 5211 4674
19 7887 5232
20 8282 2129
21 8098 4291
22 3917 5294
23 4257 3389
24 3724 4828
25 9737 11540
26 4631 12837
27 3412 8602
28 4799 6110
29 2789 11098
30 3130 6803
31 1423 5731
32 2336 7148
33 1686 6142
34 1805 3359
35 154 6803
36 1737 4053
37 1379 3310
38 110 5592
39 634 4833
40 537 2476
41 258 2530
42 875 2086
43 438 1161
44 742 2804
45 817 1267
46 0 1161
47 461 1752
48 0 0
49 0 1520
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
