Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 48
5 170 43
6 95 0
7 141 0
8 404 0
9 45 130
10 295 0
11 102 458
12 45 510
13 2956 2644
14 2995 469
15 5734 4157
16 4414 2480
17 3180 2732
18 3845 1893
19 8881 5315
20 9663 3627
21 8299 3915
22 8633 3422
23 8695 8638
24 7234 13692
25 9565 4517
26 8018 10880
27 4843 8441
28 5463 10221
29 4216 13724
30 3073 10260
31 2813 9980
32 2529 8561
33 449 7997
34 844 6584
35 858 5160
36 1824 7311
37 1352 5846
38 0 4296
39 89 7406
40 792 5078
41 1361 3100
42 942 1918
43 1332 457
44 0 177
45 573 834
46 0 2066
47 147 1211
48 0 591
49 0 594
50 0 438
51 0 585
52 0 0
53 0 0
54 0 217
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
