Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 85 37
6 0 0
7 44 0
8 331 36
9 48 120
10 160 539
11 791 480
12 559 136
13 1117 990
14 2523 3113
15 5259 3198
16 6345 6960
17 3733 3362
18 4773 2925
19 8898 5881
20 5463 3055
21 7199 4886
22 5951 2992
23 7051 4598
24 6478 8189
25 7721 8166
26 9688 14045
27 5418 6988
28 4046 6436
29 2530 9974
30 2413 8490
31 1212 9107
32 1251 8665
33 385 7325
34 1287 4952
35 436 6605
36 937 6780
37 1350 4497
38 58 4276
39 342 6214
40 1869 6148
41 258 5037
42 625 1675
43 935 1198
44 255 5827
45 163 693
46 335 0
47 0 2058
48 296 1214
49 0 1497
50 0 0
51 0 203
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
