Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 85 38
6 0 0
7 44 0
8 182 0
9 45 130
10 175 437
11 361 365
12 208 0
13 1823 651
14 1676 1902
15 4296 6090
16 4537 4635
17 4400 2823
18 4507 2083
19 9058 4707
20 10061 2070
21 6603 3316
22 3890 4200
23 5533 7228
24 4329 6745
25 7184 3969
26 7581 8957
27 5491 7131
28 4908 6308
29 3489 6574
30 4036 6468
31 1371 7697
32 1941 8655
33 1130 4319
34 711 4372
35 406 3497
36 409 1877
37 683 4802
38 858 4286
39 722 4656
40 684 2141
41 662 4727
42 1429 741
43 590 1071
44 436 1351
45 0 1724
46 0 493
47 0 1450
48 0 1153
49 311 795
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
