Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 170 41
6 0 36
7 97 41
8 364 0
9 148 211
10 73 286
11 424 697
12 154 247
13 1689 386
14 1609 1631
15 6434 6709
16 3731 2712
17 4579 3511
18 6765 4329
19 10219 2194
20 12690 4409
21 7703 3646
22 7907 6428
23 6862 9275
24 8104 5767
25 6995 5537
26 5684 14356
27 7454 6701
28 4269 8346
29 4018 16804
30 4050 10776
31 2101 10177
32 1937 7114
33 857 6297
34 218 7411
35 467 7204
36 824 5163
37 1690 5030
38 1322 6753
39 1162 5076
40 1210 6020
41 0 4563
42 1264 2781
43 278 2346
44 532 4889
45 0 1939
46 0 731
47 342 1558
48 0 531
49 0 1107
50 0 0
51 0 0
52 0 0
53 0 632
54 0 0
55 0 0
56 0 275
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
