Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 170 0
6 0 0
7 44 0
8 364 0
9 179 47
10 0 51
11 295 641
12 201 263
13 1351 1607
14 2170 843
15 4111 4827
16 2933 5334
17 5313 3654
18 4886 2902
19 9313 4157
20 7445 5639
21 9050 5097
22 4926 2910
23 7552 4406
24 4466 6094
25 7435 8038
26 6033 10569
27 2524 5674
28 6456 8850
29 3838 11678
30 3825 5642
31 2216 9930
32 648 7713
33 585 4040
34 463 3822
35 539 3037
36 1084 4593
37 676 4644
38 271 6500
39 331 4477
40 915 2929
41 343 2517
42 1282 4638
43 278 884
44 485 2513
45 0 183
46 0 797
47 0 1284
48 0 604
49 0 1279
50 0 327
51 0 0
52 0 397
53 0 422
54 0 0
55 0 275
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
