Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 170 0
6 0 0
7 91 0
8 428 0
9 266 252
10 0 140
11 285 738
12 321 306
13 2266 1778
14 1205 2715
15 4638 3264
16 3676 5399
17 6669 3537
18 6276 2217
19 11896 4245
20 7480 5482
21 10553 3851
22 7284 4319
23 6653 3661
24 7976 12387
25 4774 7150
26 8550 12698
27 6766 9359
28 5189 10714
29 3130 11672
30 3737 8963
31 2096 10360
32 1255 6142
33 1528 8437
34 1202 4674
35 1005 3951
36 1381 4620
37 645 4219
38 211 4339
39 490 5609
40 447 2926
41 343 5056
42 1707 1166
43 471 3261
44 428 3506
45 361 667
46 651 678
47 0 1221
48 0 649
49 0 882
50 0 0
51 0 107
52 0 0
53 0 509
54 0 0
55 0 0
56 0 0
57 0 259
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
