Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 85 0
6 81 0
7 44 0
8 182 107
9 313 130
10 212 79
11 840 2162
12 678 1178
13 1844 2200
14 1907 4346
15 5395 6000
16 6893 5349
17 9243 8769
18 10057 8452
19 10377 5559
20 9387 7174
21 10727 9214
22 7899 7349
23 10209 10051
24 5395 15884
25 14346 10918
26 8009 21205
27 9519 12038
28 5129 18357
29 4283 17853
30 6389 17151
31 1549 10590
32 2058 14726
33 680 17674
34 2088 10183
35 791 10430
36 993 10249
37 1750 8443
38 1302 7396
39 1259 10435
40 1210 8325
41 858 4656
42 1057 3367
43 591 6057
44 811 3484
45 0 132
46 436 1844
47 356 2471
48 0 1853
49 0 1174
50 0 249
51 0 373
52 0 200
53 119 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
